Modelo,Plataforma,Tipo,Frames,FPS media,FPS min,Lat media (ms),Lat std (ms),Lat p95 (ms),VRAM pico (MB),Power medio (W),Temp media (°C),Sidewalk %,✅ Lat,✅ FPS,✅ Estab
YOLO26n,PC,Detector,17983,95.7,2.1,10.9,4.2,15.2,2642.0,,,-,CUMPLE,CUMPLE,NO CUMPLE
YOLO26n-seg,PC,Detector,17983,73.3,1.0,14.6,9.0,22.6,2944.0,,,-,CUMPLE,CUMPLE,NO CUMPLE
YOLOv8n,PC,Detector,17983,92.8,2.1,11.8,5.2,17.0,2605.0,,,-,CUMPLE,CUMPLE,NO CUMPLE
BiSeNetV2 (B2),PC,Segmentador,5192,57.9,6.0,20.4,10.5,33.9,2614.0,,,1.3,CUMPLE,CUMPLE,NO CUMPLE
SegFormer-B0,PC,Segmentador,4500,68.5,5.8,15.9,4.6,21.2,2521.0,,,3.2,CUMPLE,CUMPLE,NO CUMPLE
