# RESUMEN SegFormer-B0
# Fuente,Image_1.jpg
# Frames,1
# Fecha,2026-05-18 20:39:14
# os,Windows 10
# python,3.10.20
# cpu,"Intel64 Family 6 Model 151 Stepping 2, GenuineIntel"
# ram_total_gb,34.1
# gpu,NVIDIA GeForce RTX 3070 Ti
# gpu_vram_gb,8.6
# cuda,11.8
# pytorch,2.6.0+cu118
# modelo_hf,nvidia/segformer-b0-finetuned-cityscapes-1024-1024

# CRITERIOS DE VALIDACIÓN
# Lat <300ms,NO CUMPLE,535.5ms
# FPS >=15,NO CUMPLE,1.9
# Estab <20%,CUMPLE,std=0.0ms (0.0%)

metrica,media,std,min,max,p50,p95
latencia_ms,535.53,0.0,535.53,535.53,535.53,535.53
fps_instantaneo,1.87,0.0,1.87,1.87,1.87,1.87
ram_gb,18.01,0.0,18.01,18.01,18.01,18.01
gpu_mb,2132.7,0.0,2132.7,2132.7,2132.7,2132.7
cpu_pct,6.0,0.0,6.0,6.0,6.0,6.0
clases_detectadas,14.0,0.0,14.0,14.0,14.0,14.0
pct_sidewalk,6.69,0.0,6.69,6.69,6.69,6.69
pct_road,25.36,0.0,25.36,25.36,25.36,25.36
pct_person,0.92,0.0,0.92,0.92,0.92,0.92
